x,Curve1
"2,899298","-0,000961"
"2,902003","0,026611"
"2,905067","-0,049094"
"2,905855","-0,004574"
"2,907689","-0,03463"
"2,91045","0,001755"
"2,916363","-0,02378"
"2,920244","0,029781"
"2,923797","-0,048636"
"2,926205","0,011929"
"2,933729","0,001084"
"2,938427","0,023685"
"2,942714","-0,0188"
"2,945535","0,027077"
"2,947665","-0,036199"
"2,957115","0,017363"
"2,960076","0,005387"
"2,96402","-0,011109"
"2,965179","0,011942"
"2,968682","0,005615"
"2,972756","0,009685"
"2,974967","0,039064"
"2,977694","-0,009975"
"2,978394","0,02076"
"2,981847","0,006524"
"2,982914","0,015112"
"2,986041","0,10935"
"2,987898","0,00291"
"2,991044","0,020086"
"2,992482","0,007431"
"2,996171","0,030483"
"2,99701","0,003139"
"3,001172","0,020993"
"3,005563","-0,004994"
"3,011304","0,022352"
"3,013175","-0,001828"
"3,018631","-0,019453"
"3,019868","0,016027"
"3,023804","-0,001824"
"3,02664","-0,033688"
"3,030587","-0,049732"
"3,043244","-0,049276"
"3,047957","-0,024416"
"3,048537","-0,012664"
"3,050137","0,000218"
"3,053641","-0,005883"
"3,054777","0,013553"
"3,059744","-0,001361"
"3,061418","0,023272"
"3,066324","-0,001359"
"3,067445","0,015817"
"3,071582","0,029829"
"3,073335","-0,013108"
"3,074539","0,017175"
"3,078573","0,01469"
"3,082457","-0,011297"
"3,084759","0,032546"
"3,085609","0,006783"
"3,089717","0,01605"
"3,091039","-0,01491"
"3,09588","0,030289"
"3,099238","0,000912"
"3,104868","0,010857"
"3,106236","-0,012871"
"3,109007","0,025096"
"3,110353","-0,002248"
"3,115047","0,019674"
"3,116865","-0,012868"
"3,117976","0,002726"
"3,123055","0,005439"
"3,124655","0,018321"
"3,127979","-0,016254"
"3,130174","0,010639"
"3,136722","0,00567"
"3,141035","-0,032747"
"3,143881","0,017197"
"3,147189","-0,02009"
"3,149385","0,00703"
"3,15188","0,001381"
"3,15685","-0,013081"
"3,157903","-0,006527"
"3,162007","0,002062"
"3,168505","-0,010817"
"3,170606","0,001161"
"3,171585","-0,004037"
"3,176609","-0,009911"
"3,178189","-0,000193"
"3,179216","0,002068"
"3,180694","-0,00426"
"3,184167","-0,015332"
"3,184836","0,010431"
"3,187284","-0,002676"
"3,190387","0,007721"
"3,191341","-0,001544"
"3,194184","-0,032052"
"3,196016","0,01744"
"3,199826","-0,020299"
"3,202095","0,018346"
"3,20378","-0,035439"
"3,20742","-0,02007"
"3,209751","0,028292"
"3,210956","-0,021199"
"3,213085","-0,004701"
"3,21518","0,006373"
"3,217576","-0,014869"
"3,218734","0,008182"
"3,220152","-0,007637"
"3,222133","-0,014642"
"3,224284","0,005472"
"3,226187","-0,013737"
"3,22951","0,031462"
"3,232101","-0,039045"
"3,233349","-0,001757"
"3,23543","0,007057"
"3,237903","-0,001981"
"3,239463","0,004573"
"3,241812","-0,024127"
"3,244056","0,01045"
"3,245933","-0,012826"
"3,247613","0,012711"
"3,249543","-0,002204"
"3,249971","-0,014633"
"3,252571","-0,003558"
"3,254149","0,005708"
"3,256592","-0,008077"
"3,25919","0,002545"
"3,259955","-0,03655"
"3,26119","-0,001296"
"3,263791","0,009778"
"3,264609","-0,020956"
"3,267736","-0,006717"
"3,269889","0,013622"
"3,272082","-0,03971"
"3,27541","0,006166"
"3,276859","-0,004681"
"3,277919","0,002777"
"3,279402","-0,002872"
"3,281192","-0,039933"
"3,282923","-0,006261"
"3,283399","-0,011006"
"3,285398","-0,015073"
"3,286359","-0,023209"
"3,288352","-0,02818"
"3,290747","-0,049648"
"3,299858","-0,049645"
"3,303007","-0,031791"
"3,305481","-0,04083"
"3,307687","-0,012128"
"3,309607","-0,028625"
"3,312867","0,00663"
"3,314031","-0,049414"
"3,314534","-0,049866"
"3,315871","0,001434"
"3,316555","0,029457"
"3,317873","-0,002181"
"3,319","0,015898"
"3,320577","0,025164"
"3,321024","0,015899"
"3,32401","0,007764"
"3,327125","0,020194"
"3,327536","0,005053"
"3,329204","0,028783"
"3,331037","-0,001499"
"3,332647","0,012965"
"3,335065","-0,004888"
"3,337706","0,012514"
"3,34113","-0,006242"
"3,344309","0,016132"
"3,347684","-0,010307"
"3,349373","0,016586"
"3,352335","0,004835"
"3,354474","0,022915"
"3,357934","0,009809"
"3,361167","0,04077"
"3,364552","0,015687"
"3,365159","0,031732"
"3,366692","0,033992"
"3,369157","0,023598"
"3,371782","0,038514"
"3,373732","0,026763"
"3,375844","0,040549"
"3,377863","0,039646"
"3,377877","0,041906"
"3,379461","0,052302"
"3,381383","0,036031"
"3,383107","0,068574"
"3,385118","0,066315"
"3,386612","0,062473"
"3,387164","0,069705"
"3,388758","0,081683"
"3,389689","0,068802"
"3,393629","0,051628"
"3,394836","0,082363"
"3,395309","0,077166"
"3,397854","0,079426"
"3,398802","0,069257"
"3,400344","0,072873"
"3,402362","0,07197"
"3,403429","0,080558"
"3,40578","0,052084"
"3,407477","0,080333"
"3,408425","0,070164"
"3,410415","0,064741"
"3,412485","0,071973"
"3,413523","0,076041"
"3,41459","0,084629"
"3,416992","0,064291"
"3,420171","0,086665"
"3,42165","0,080564"
"3,422645","0,077852"
"3,42422","0,086666"
"3,425715","0,083051"
"3,427231","0,0826"
"3,429696","0,072205"
"3,430867","0,09729"
"3,43281","0,084409"
"3,435333","0,08328"
"3,437858","0,082377"
"3,438898","0,086671"
"3,440388","0,082152"
"3,441343","0,073113"
"3,443403","0,078763"
"3,444887","0,07334"
"3,446902","0,071758"
"3,448405","0,069273"
"3,451442","0,069274"
"3,453465","0,069049"
"3,454458","0,066111"
"3,456517","0,071536"
"3,458984","0,061367"
"3,459977","0,058429"
"3,459987","0,060011"
"3,462008","0,059334"
"3,464028","0,058657"
"3,466004","0,050974"
"3,468026","0,050522"
"3,469551","0,051653"
"3,470512","0,043518"
"3,47255","0,045552"
"3,475023","0,036513"
"3,477101","0,044876"
"3,478625","0,04578"
"3,481164","0,047137"
"3,483685","0,045556"
"3,483696","0,047364"
"3,486257","0,05211"
"3,486739","0,048269"
"3,488274","0,050981"
"3,492823","0,049852"
"3,495365","0,051661"
"3,496888","0,05234"
"3,500431","0,052341"
"3,501959","0,053923"
"3,503473","0,053246"
"3,505445","0,044885"
"3,506493","0,050535"
"3,507489","0,048049"
"3,510536","0,049632"
"3,511025","0,04692"
"3,512029","0,045565"
"3,513013","0,041045"
"3,516055","0,04195"
"3,517032","0,036301"
"3,518057","0,038335"
"3,519062","0,037206"
"3,523107","0,036529"
"3,524078","0,029975"
"3,525614","0,032688"
"3,527119","0,030654"
"3,530137","0,027718"
"3,532145","0,025006"
"3,533161","0,025685"
"3,534646","0,020261"
"3,536163","0,020036"
"3,537212","0,025912"
"3,537704","0,023652"
"3,539194","0,019133"
"3,539686","0,016873"
"3,541191","0,01484"
"3,542226","0,018456"
"3,543203","0,012807"
"3,547245","0,011678"
"3,547728","0,008062"
"3,549268","0,011453"
"3,550751","0,005803"
"3,552285","0,00829"
"3,555808","0,005127"
"3,557837","0,005806"
"3,557851","0,008065"
"3,559839","0,00219"
"3,559863","0,006032"
"3,56289","0,004451"
"3,564886","-6,8e-05"
"3,566917","0,001063"
"3,56995","0,000386"
"3,576015","-0,000968"
"3,579548","-0,002549"
"3,583617","0,000616"
"3,585622","-0,002547"
"3,587664","0,000166"
"3,5902","0,00107"
"3,591195","-0,001641"
"3,595736","-0,0039"
"3,597295","0,002429"
"3,599279","-0,003899"
