Exposure,Target,,Comments,Label,,
"2018-09-22T04:27:12(LM)
2018-09-22T04:31:37(LM)",NGC 1068,5.2,No N-band data,22Sep,,
"2018-09-22T04:56:13(LM)
2018-09-22T04:57:54(LM)
2018-09-22T04:59:20(LM)
2018-09-22T05:00:46(LM)
2018-09-22T05:02:21(LM)
2018-09-22T05:03:47(LM)
2018-09-22T05:05:13(LM)
2018-09-22T05:06:38(LM)","HD 16658
K0III 0.27 mas
[1.09, 0.59, 0.18]",4.6,"Calibrator for following
Observation",,,
"2018-09-24T04:55:10(N)
2018-09-24T05:31:04(N)
2018-09-24T05:15:03(N)
2018-09-24T05:16:43(N)
2018-09-24T05:18:23(N)
2018-09-24T05:20:03(N)
2018-09-24T05:07:55(N)
2018-09-24T05:09:51(N)
2018-09-24T05:11:32(N)
2018-09-24T05:13:12(N)",NGC 1068,5.4,No LM-band data,24Sep,,
"2018-09-25T08:21:57(LM)
2018-09-25T08:22:59(LM) 
2018-09-25T08:24:00(LM)
2018-09-25T08:25:11(LM)
2018-09-25T08:26:12(LM) 
2018-09-25T08:27:13(LM)
2018-09-25T08:28:15(LM)
2018-09-24T08:07:55(N)
2018-09-24T08:09:49(N)
2018-09-24T08:11:21(N)
2018-09-24T08:12:52(N)
2018-09-24T08:14:22(N)
2018-09-24T08:15:55(N)
2018-09-24T08:17:28(N)
2018-09-24T08:18:59(N) 
2018-09-24T08:50:21(N)
2018-09-24T08:51:17(N)
2018-09-24T08:52:13(N)
2018-09-24T08:53:09(N)
2018-09-24T08:46:13(N)
2018-09-24T08:47:23(N)
2018-09-24T08:48:19(N)
2018-09-24T08:49:16(N)","HD 20356
K4III 1.63 mas
[25.8, 15.1, 4.93]",6.8,"Calibrator for following
Observation",,,
"2018-09-25T05:36:10(LM)
2018-09-25T05:41:06(LM) 
2018-09-25T05:29:33(N)
2018-09-25T05:31:04(N)
2018-09-25T05:41:07(N)
2018-09-25T05:42:42(N)
2018-09-25T05:44:19(N)
2018-09-25T05:45:54(N)
2018-09-25T05:34:19(N)
2018-09-25T05:36:10(N)
2018-09-25T05:37:45(N)
2018-09-25T05:39:21(N)",NGC 1068,4.9,"UT2 visibilities flagged
“
“
“
“
“
“
“
“
“
“",25Sep,,
"2018-09-25T02:51:31(LM)
2018-09-25T02:52:45(LM)
2018-09-25T02:53:44(LM)
2018-09-25T02:54:42(LM)
2018-09-25T02:55:51(LM)
2018-09-25T02:56:51(LM)
2018-09-25T02:57:49(LM)
2018-09-25T02:58:48(LM)
2018-09-25T02:40:07(N)
2018-09-25T02:42:03(N)
2018-09-25T02:43:36(N)
2018-09-25T02:46:47(N)
2018-09-25T02:48:18(N)
2018-09-25T02:49:50(N)
2018-09-25T02:55:52(N)
2018-09-25T02:56:51(N)
2018-09-25T02:57:50(N)
2018-09-25T02:58:49(N)
2018-09-25T02:51:32(N)
2018-09-25T02:52:45(N)
2018-09-25T02:53:44(N)
2018-09-25T02:54:43(N)","HD 209240 
K0III 0.74 mas
[8.3, 5.7, 1.18]",4.0,"Calibrator of preceding
Observation",,,
"2019-11-07T01:51:29(LM)
2019-11-07T01:56:46(LM)
2019-11-07T01:35:37(N)
2019-11-07T01:43:21(N)
2019-11-07T01:46:36(N)
2019-11-07T01:49:16(N)
2019-11-07T01:56:46(N)
2019-11-07T01:58:02(N)
2019-11-07T01:59:17(N)
2019-11-07T02:00:38(N)
2019-11-07T01:51:29(N)
2019-11-07T01:52:48(N)
2019-11-07T01:54:05(N)
2019-11-07T01:55:20(N)",NGC 1068,3.1,"Telescope UT2 failed
“
“
“
“
“",7NovA,,
"2019-11-07T05:50:50(LM)
2019-11-07T05:56:08(LM)
2019-11-07T05:27:27(N)
2019-11-07T05:28:55(N)
2019-11-07T05:32:13(N)
2019-11-07T05:56:09(N)
2019-11-07T06:00:33(N)
2019-11-07T06:01:52(N)
2019-11-07T06:03:11(N)
2019-11-07T05:50:50(N)
2019-11-07T05:52:06(N)
2019-11-07T05:53:25(N)
2019-11-07T05:54:42(N)",NGC 1068,7.4,,7NovB,,
"2019-11-07T07:15:58(LM)
2019-11-07T07:21:15(LM)
2019-11-07T07:03:30(N)
2019-11-07T07:10:48(N)
2019-11-07T07:12:16(N)
2019-11-07T07:13:44(N)
2019-11-07T07:21:15(N)
2019-11-07T07:22:33(N)
2019-11-07T07:23:51(N)
2019-11-07T07:25:11(N)
2019-11-07T05:50:50(N)
2019-11-07T07:17:15(N)
2019-11-07T07:18:33(N)
2019-11-07T07:19:51(N)",NGC 1068,7.3,,7NovC,,
"2019-11-07T07:45:30(LM)
2019-11-07T07:46:47(LM)
2019-11-07T07:48:07(LM)
2019-11-07T07:49:24(LM)
2019-11-07T07:50:50(LM)
2019-11-07T07:52:05(LM)
2019-11-07T07:53:24(LM)
2019-11-07T07:54:44(LM)
2019-11-07T07:38:55(N)
2019-11-07T07:40:23(N)
2019-11-07T07:41:52(N)
2019-11-07T07:43:17(N)
2019-11-07T07:50:50(N)
2019-11-07T07:50:50(N)
2019-11-07T07:52:06(N)
2019-11-07T07:53:24(N)
2019-11-07T07:54:44(N)
2019-11-07T07:45:30(N)
2019-11-07T07:46:48(N)
2019-11-07T07:48:07(N)
2019-11-07T07:49:24(N)","HD 18322
Eta Eri
K1IIIb 2.6
[74.1, 44.1 12.8]",6.9,"Cohen Calibrator
Calibrator for all 2019
Observations",,,
